1486.9874457594333, -29.006323173599004
1486.9729889335817, -29.831031839909986
1486.9723667902563, -30.437261599393956
1486.9717446471896, -31.043491358877922
1486.9711225043848, -31.649721118361896
1486.9705003618387, -32.25595087784586
1486.9698782195542, -32.862180637329836
1486.9692560775288, -33.4684103968138
1486.9495314823794, -34.12148518316699
1487.0709444052002, -27.220110489405165
1487.0065143600327, -28.108788205012345
1486.9996706434654, -34.77731555933601
1486.9990484889763, -35.383545318819976
1486.9984263347462, -35.98977507830395
1487.0294778044497, -36.678672532263
1487.028855637488, -37.284902291746974
1487.0091217677705, -37.94624384754766
1487.0769788994894, -44.54932594374522
1487.084546267709, -38.72332017561348
1487.090196896093, -39.40670644994086
1487.0895747037282, -40.012936209424836
1487.0889525116222, -40.6191659689088
1487.088330319778, -41.22539572839277
1487.0877081281942, -41.83162548787674
1487.087085936869, -42.43785524736071
1487.086492027211, -43.01652910868632
1487.0381831191476, -43.66901341150754
1487.084059828232, -45.38633635030547
1487.0834376384335, -45.992566109789436
1487.173561714512, -26.262543028402074
1487.1270141787036, -46.85782131196201
1487.1451346800764, -47.769921541003804
1487.144512464726, -48.37615130048777
1487.143890249634, -48.98238105997174
1487.1591204529122, -49.61616671761407
1487.2638553042357, -24.93985991680069
1487.1995653895203, -25.68386916707647
1487.3739558640339, -23.77857563726971
1487.2643361455678, -24.47140964810853
1487.520120513098, -22.862145195660176
1487.6351676661957, -22.206314819491155
1487.8709422619195, -21.578040341480495
1488.1576512724641, -20.90567642641646
1488.4762388610777, -20.200245433562383
1488.794911641859, -19.478280901813292
1489.0712154795942, -18.78877109456183
1489.2945932514365, -18.06466332628931
1489.5603612651962, -17.398729120795558
1489.7518928170603, -16.774128762539345
1489.9435009454078, -16.099009257659468
1490.1351620572952, -15.396333854621233
1490.3540621065345, -14.759923825725725
1490.5502548951524, -14.12416988964351
1490.7419042798092, -13.50875483077342
1490.9381427237554, -12.87824963719756
1491.1890949634185, -12.157367658590406
1491.412729380782, -11.492581615519915
1491.6044915503426, -10.875329496772602
1491.7006769202653, -10.280122096551978
1491.906322918044, -9.477064493079705
1492.080264030436, -8.544100512575156
1492.2133200436147, -7.542902879487995
1492.3737345340473, -6.515297510665738
1492.4702540557378, -5.643842231407531
1492.534882990893, -4.791905713344832
1492.6657957321622, -1.4897905840344237
1492.665057656986, -2.2062439361518416
1492.6644331321208, -2.812473695635811
1492.6638086075188, -3.41870345511978
1492.6632053737756, -4.004266290984978
